AKAP9	CAMK2G
AKAP9	CAMK2A
AKAP9	AKAP5
AKAP9	GOLGA2
AKAP9	RPGR
AKAP9	ADCY9
TGFBR1	DYNLRB1
TGFBR1	TGFBRAP1
TGFBR1	SAR1A
NKD1	NCK1
PPP2R3B	NCK1
LEPR	LEPROT
LEPR	PRKAB1
LEPR	PRKAG1
LEPR	SNX4
LEPR	SNX2
LEPR	PRKAB2
LEPR	PRKAA1
LEPR	PRKAA2
RASSF5	BTRC
RASSF5	PPP1CA
ADCY5	CACNA1C
ADCY5	AKAP5
ADCY5	CAMK2A
IRF9	IFNAR2
TLR9	IL10
IRF1	HLA-E
ADCY6	CALM2
ADCY6	AKAP5
CXCR2	RAB5A
CXCR2	RAB11A
CXCR2	GRIA1
CXCR2	RAB7A
NPRL2	LAMP1
NPRL2	EFNA5
CACNG8	CAMK2B
CLTCL1	EPHB2
CLTCL1	ARRB2
CLTCL1	ARRB1
HMGB1	CAPZA1
IFNA2	IRF7
IFNA2	IRF2
IFNA2	IFNA6
PRKAG2	PRKAR1A
PRKAG2	LEPR
PRKAG2	PRKAR2A
IFNA17	IFNAR2
ETS1	CAMK2G
WDR24	LAMP1
SLC38A9	EFNA5
FYB	CD3D
FYB	GRAP2
FYB	FYN
FYB	PTPRC
FYB	NCK2
FYB	LCP2
FYB	HLA-DRA
FYB	WAS
FYB	ZAP70
FYB	VASP
FYB	NCK1
FYB	HLA-DRB1
FYB	
FYB	PTPN11
FYB	ITGB2
FYB	CD3E
FYB	CD247
FYB	LAT
FYB	CD4
FYB	SRC
MYO6	RPS27A
FYB	CD3G
MYO6	MYO1C
MYO6	CAMK2B
MYO6	CALCOCO2
MYO6	
MYO6	DLG1
MYO6	OPTN
MYO6	AKAP5
MYO6	DLG4
MYO6	JAM3
MYO6	ACTB
MYO6	PICALM
MYO6	PAK3
MYO6	PAK1
MYO6	DYNLL2
MYO6	CLTB
MYO6	CLTA
MYO6	TAX1BP1
MYO6	ACTG1
MYO6	VCL
MYO6	CD2AP
MYO6	AP2M1
MYO6	OTOF
MYO6	RAC3
MYO6	CLTC
MYO6	ACTA1
MYO6	CDH1
MYO6	CTNNA1
MYO6	CTNND1
GH1	MAPK3
MYO6	CTNNB1
GH1	IRS2
GH1	INS
GH1	PLCG1
GH1	STAT5A
GH1	PIK3R1
GH1	B2M
GH1	IGF1
GH1	MAPK1
GH1	JAK2
GH1	PIK3CA
GH1	GHR
GH1	IRS1
GH1	STAT5B
GH1	PTPN6
SNX9	CDC42
GH1	EPO
SNX9	IGF2R
SNX9	PIK3C2A
SNX9	SNX5
SNX9	PIK3C2B
SNX9	DNM1
SNX9	SNX2
SNX9	SNAPIN
SNX9	WAS
SNX9	WASL
SNX9	PIK3C2G
SNX9	DNM2
SNX9	SYNJ1
SNX9	SORT1
SNX9	CLTA
SNX9	CLTC
SNX9	PIK3CA
SNX9	SNX1
SNX9	OCRL
LIF	IL10
SNX9	EGFR
LIF	IFNGR1
LIF	TNF
LIF	IGF1
LIF	SHC1
LIF	VEGFA
LIF	CSF2
LIF	IGF2R
LIF	IL6ST
LIF	
LIF	FGF2
LIF	TGFB1
LIF	HGF
LIF	CCL4
LIF	EGF
LIF	PDGFRA
LIF	JAK1
LIF	STAT3
LIF	HBEGF
LIF	JAK2
LIF	GRB2
LIF	TYK2
LIF	EGFR
LIF	IL6
LIF	KITLG
LIF	IL6R
LIF	IL1B
AP2S1	AP2A1
LIF	CXCL8
AP2S1	ARF6
AP2S1	DNAL4
AP2S1	ARFGAP1
AP2S1	PICK1
AP2S1	PRKCA
AP2S1	CLTB
AP2S1	TGOLN2
AP2S1	AP1G1
AP2S1	AP2M1
AP2S1	PRKCG
AP2S1	AP3S1
AP2S1	ITSN1
AP2S1	DNM2
AP2S1	AP2B1
AP2S1	CLTC
AP2S1	AP2A2
AP2S1	PRKCB
AP2S1	EPN1
AP2S1	CLTA
AP2S1	
AP2S1	EPS15
AP2S1	FZD2
AP2S1	GRB2
AP2S1	EGFR
CACNA1C	STX1A
CACNA1C	GNB1
CACNA1C	GNB2
CACNA1C	PRKACB
CACNA1C	GNG12
CACNA1C	GNG11
CACNA1C	GNG4
CACNA1C	KCNMA1
CACNA1C	GNG8
CACNA1C	CACNA1E
CACNA1C	CACNA1D
CACNA1C	RIMS2
CACNA1C	SNAP25
CACNA1C	PRKG2
CACNA1C	STXBP1
CACNA1C	CALM2
CACNA1C	GNG5
CACNA1C	GNGT2
CACNA1C	INS
CACNA1C	GNGT1
CACNA1C	CACNB2
CACNA1C	ACTN1
CACNA1C	GNB5
CACNA1C	CACNB3
CACNA1C	CAV1
CACNA1C	GNG2
CACNA1C	PRKACA
CACNA1C	KCNMB1
CACNA1C	VAMP2
CACNA1C	CACNA2D2
CACNA1C	GNG3
